@relation movie_halfofhalf


@attribute rate_ave numeric

@attribute Action numeric

@attribute Adventure numeric

@attribute Animation numeric

@attribute Comedy numeric

@attribute Crime numeric

@attribute Documentary numeric

@attribute Drama numeric

@attribute Family numeric

@attribute Fantasy numeric

@attribute Foreign numeric

@attribute History numeric

@attribute Horror numeric

@attribute Kids numeric

@attribute Music numeric

@attribute Mystery numeric

@attribute Romance numeric

@attribute ScienceFiction numeric

@attribute TVMovie numeric

@attribute Thriller numeric

@attribute War numeric

@attribute Western numeric

@attribute rate_cnt numeric

@attribute popularity numeric

@attribute mid numeric

@attribute releasedate date "MM/dd/YYYY"
@data

3.90782,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56564,27.8962,1,11/21/1995
3.21858,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23138,9.44499,2,12/15/1995
3.1808,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15191,3.44296,3,12/22/1995
2.87889,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2923,1.98981,4,12/22/1995
3.08174,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14589,1.80002,5,12/8/1995
3.83181,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25863,18.4246,6,12/15/1995
3.37429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14736,0.85173,7,12/15/1995
3.14457,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1463,2.22208,8,12/22/1995
3.01983,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4287,2.07899,9,12/22/1995
3.43824,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30847,15.2315,10,11/16/1995
3.66726,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18920,1.09918,11,11/17/1995
2.6662,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4257,3.92267,12,12/22/1995
3.29122,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1595,3.4078,13,12/22/1995
3.43193,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6721,3.55323,14,12/22/1995
2.72879,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3005,2.3847,15,12/22/1995
3.77948,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18781,10.6124,16,11/22/1995
3.96423,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23289,3.28241,17,12/13/1995
3.39436,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5623,5.21198,18,12/25/1995
2.6173,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22264,8.10137,19,11/10/1995
2.90145,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4485,3.83941,20,11/21/1995
3.58029,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24953,5.38902,21,10/20/1995
3.30156,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10789,1.01407,22,10/27/1995
3.16042,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4566,5.84336,23,10/6/1995
3.18505,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,8892,6.15424,24,10/27/1995
3.6742,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24019,4.1622,25,10/27/1995
3.61999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2967,1.48675,26,12/15/1995
3.42967,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1763,0.97539,27,10/20/1995
4.05369,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3297,0.70503,28,9/27/1995
3.92633,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9420,6.19917,29,5/16/1995
3.6435,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338,0.73415,30,4/30/1995
3.24375,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11120,2.15725,31,8/11/1995
3.88237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,48803,15.8375,32,12/27/1995
3.64696,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,33366,11.5558,34,8/3/1995
3.50581,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1548,1.79352,35,11/8/1995
3.94413,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23009,5.81319,36,12/29/1995
2.88211,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,598,2.23005,38,11/17/1995
3.41403,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26829,9.82612,39,7/19/1995
3.65635,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937,0.00299,40,12/15/1995
3.85524,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4998,1.12873,41,12/29/1995
3.05397,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2529,1.28147,42,10/6/1995
3.47277,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2626,1.39854,43,12/29/1995
2.6294,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12056,8.9169,44,8/18/1995
3.37545,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9398,2.99974,45,9/27/1995
3.27231,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3294,0.19872,46,10/6/1995
4.05493,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,44817,19.3566,47,9/22/1995
2.93798,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14706,18.4007,48,6/14/1995
3.59839,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,249,0.27696,49,5/5/1995
4.3291,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49728,20.1178,50,8/16/1995
3.53906,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10163,1.60243,52,9/13/1995
3.70192,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,156,0.00164,53,1/1/1994
2.86876,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0.36434,54,9/29/1995
3.23777,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961,0.00233,55,5/19/1995
3.32676,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2485,0.17406,57,11/2/1995
3.9708,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13202,0.62966,58,9/22/1994
3.59091,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,198,0.00174,59,9/29/1995
3.07998,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7289,3.01576,60,7/14/1995
3.33864,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2420,1.04112,61,1/12/1996
3.75907,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22411,0.41437,62,12/29/1995
3.10375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2530,5.16646,63,1/12/1996
2.8414,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2169,1.33412,64,1/12/1996
2.41524,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5557,7.11149,65,1/12/1996
