rate_ave,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Kids,Music,Mystery,Romance,ScienceFiction,TVMovie,Thriller,War,Western,popularity
3.90782,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8962
3.21858,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9.44499
3.1808,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.44296
2.87889,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.98981
3.08174,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80002
3.83181,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.4246
3.37429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.85173
3.14457,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22208
3.01983,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.07899
3.43824,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.2315
3.66726,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.09918
2.6662,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.92267
3.29122,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4078
3.43193,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.55323
2.72879,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3847
3.77948,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6124
3.96423,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.28241
3.39436,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.21198
2.6173,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.10137
2.90145,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.83941
3.58029,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.38902
3.30156,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.01407
3.16042,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.84336
3.18505,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6.15424
3.6742,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.1622
3.61999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48675
3.42967,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97539
4.05369,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.70503
3.92633,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6.19917
3.6435,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73415
3.24375,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15725
3.88237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,15.8375
3.64696,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11.5558
3.50581,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.79352
3.94413,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81319
2.88211,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2.23005
3.41403,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.82612
3.65635,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00299
3.85524,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.12873
3.05397,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.28147
3.47277,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.39854
2.6294,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.9169
3.37545,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.99974
3.27231,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.19872
4.05493,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,19.3566
2.93798,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4007
3.59839,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.27696
4.3291,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.1178
3.53906,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.60243
3.70192,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00164
2.86876,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36434
3.23777,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00233
3.32676,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.17406
3.9708,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.62966
3.59091,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.00174
3.07998,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.01576
3.33864,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.04112
3.75907,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41437
3.10375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16646
2.8414,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.33412
2.41524,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11149
