rate_ave,rate_cnt,popularity,mid
3.90782,56564,27.8962,1
3.21858,23138,9.44499,2
3.1808,15191,3.44296,3
2.87889,2923,1.98981,4
3.08174,14589,1.80002,5
3.83181,25863,18.4246,6
3.37429,14736,0.85173,7
3.14457,1463,2.22208,8
3.01983,4287,2.07899,9
3.43824,30847,15.2315,10
3.66726,18920,1.09918,11
2.6662,4257,3.92267,12
3.29122,1595,3.4078,13
3.43193,6721,3.55323,14
2.72879,3005,2.3847,15
3.77948,18781,10.6124,16
3.96423,23289,3.28241,17
3.39436,5623,5.21198,18
2.6173,22264,8.10137,19
2.90145,4485,3.83941,20
3.58029,24953,5.38902,21
3.30156,10789,1.01407,22
3.16042,4566,5.84336,23
3.18505,8892,6.15424,24
3.6742,24019,4.1622,25
3.61999,2967,1.48675,26
3.42967,1763,0.97539,27
4.05369,3297,0.70503,28
3.92633,9420,6.19917,29
3.6435,1338,0.73415,30
3.24375,11120,2.15725,31
3.88237,48803,15.8375,32
3.64696,33366,11.5558,34
3.50581,1548,1.79352,35
3.94413,23009,5.81319,36
2.88211,598,2.23005,38
3.41403,26829,9.82612,39
3.65635,937,0.00299,40
3.85524,4998,1.12873,41
3.05397,2529,1.28147,42
3.47277,2626,1.39854,43
2.6294,12056,8.9169,44
3.37545,9398,2.99974,45
3.27231,3294,0.19872,46
4.05493,44817,19.3566,47
2.93798,14706,18.4007,48
3.59839,249,0.27696,49
4.3291,49728,20.1178,50
3.53906,10163,1.60243,52
3.70192,156,0.00164,53
2.86876,1002,0.36434,54
3.23777,961,0.00233,55
3.32676,2485,0.17406,57
3.9708,13202,0.62966,58
3.59091,198,0.00174,59
3.07998,7289,3.01576,60
3.33864,2420,1.04112,61
3.75907,22411,0.41437,62
3.10375,2530,5.16646,63
2.8414,2169,1.33412,64
2.41524,5557,7.11149,65
2.16713,2528,0.64598,66
3.35632,174,0.30063,67
3.46195,1301,0.92049,68
3.55498,4820,1.96278,69
3.28112,13464,13.9317,70
2.36067,1317,1.88778,71
3.48972,1265,0.64234,72
3.80235,3367,1.20628,73
3.30935,3745,0.7845,74
2.47208,573,0.00338,75
3.01273,3575,2.52791,76
3.43805,226,0.00145,77
3.17766,1258,1.13387,78
3.16407,6223,2.40273,79
3.72673,591,0.00192,80
3.27454,3351,2.45238,81
4.01528,2684,0.69043,82
3.65422,616,0.00154,83
3.39759,166,0.00143,84
3.54056,2811,1.32366,85
3.49037,4517,2.19523,86
2.39702,1039,0.07587,87
3.13043,5566,2.24744,88
3.14024,3330,2.54934,89
3.33784,222,0.00333,90
2.86,2400,1.45143,92
2.53041,2055,2.07249,93
3.52914,4238,1.29828,94
3.12226,24942,6.35484,95
3.68836,507,0.00585,96
3.99741,2121,7.27415,97
3.12203,758,0.00152,99
3.23405,4373,4.82891,100
3.78442,4453,5.77035,101
2.44322,2087,0.13092,102
3.28069,1181,0.09282,103
3.41431,19512,5.29592,104
3.32687,10879,6.30631,105
3.42279,136,0.00172,106
3.19784,7837,2.76873,107
3.03676,136,0.00255,108
4.04209,58412,25.8192,110
4.10938,26608,11.4371,111
3.40361,13072,4.26422,112
3.12698,1138,2.02141,113
3.61905,252,0.00246,114
3.92593,1026,0.00146,116
3.5907,1301,0.00212,117
3.01459,1165,0.02315,118
2.80443,271,0.24902,119
2.8913,161,0.06623,120
3.74235,850,0.00185,121
2.8657,4006,8.55965,122
3.97445,2427,3.89398,123
3.49547,331,0.00411,124
3.75487,3590,1.69284,125
2.34341,1456,5.53448,126
3.17,200,0.00215,129
3.29847,196,0.00246,131
2.77195,2164,2.06542,132
2.99679,7483,1.97444,135
3.54717,106,0.00144,136
3.3029,241,0.00845,137
3.28276,145,0.0023,138
3.31144,5595,1.70797,140
3.52217,25011,2.3226,141
3.47081,4608,0.65227,144
3.25685,13430,9.8506,145
2.89701,602,0.00164,146
3.59678,4567,5.00766,147
2.89807,363,0.16183,148
3.69517,1117,0.71914,149
3.88335,53450,8.74407,150
3.5313,13289,3.91932,151
3.09895,667,1.68422,152
2.91969,36961,14.1091,153
3.80272,3120,3.00243,154
3.40445,1303,0.39414,155
3.53819,1728,0.76998,156
2.79221,2683,2.74687,157
2.90044,14624,14.5518,158
3.41653,2396,2.28206,159
2.6094,15475,3.66566,160
3.74866,25221,2.776,161
