mid,rate_avg
217,3.481803059
218,3.582318899
219,3.32609773
220,3.188547748
222,3.312118934
223,3.272030351
224,3.496557284
225,3.72970183
227,3.14720974
228,2.74739711
229,3.583587186
230,3.808327446
231,3.489019106
232,3.582521056
233,3.501598014
234,3.364463203
235,3.685372036
236,3.312645895
237,3.443754541
238,3.038756014
239,3.324026445
240,3.558109895
241,3.320217961
242,3.599773074
243,3.280159054
244,3.373159054
245,3.521233713
246,4.220497301
247,3.540867118
248,3.164264548
249,3.526275099
250,3.300355299
251,3.207006928
252,3.436797626
253,3.181526183
254,3.712465033
255,3.239359054
256,3.294557938
257,3.414632814
258,2.972265786
259,3.449299334
260,3.715612734
261,3.584700904
262,3.332401666
263,3.537785718
264,3.538396612
265,3.539486658
266,3.7984576
267,3.099969187
268,3.355113296
269,3.483766568
270,3.52724249
271,3.587137964
272,3.540710826
273,3.32456101
274,2.897149585
275,3.419600051
276,3.283914201
277,3.444175961
278,3.194560831
279,3.647060427
280,3.75331935
281,3.551549764
282,3.626456258
283,3.589281839
286,3.069541339
287,3.47846075
288,3.768353946
289,3.535495585
290,3.55009771
291,3.531540739
292,3.567598013
293,3.832611129
294,3.50377077
295,3.389776587
296,3.936557074
297,3.675765679
298,3.509821159
299,3.519766326
300,3.747814056
301,3.448488546
302,3.925687366
303,3.393710951
304,2.731671993
305,3.704681422
306,3.525194224
307,3.465468629
308,3.449846554
309,3.597759054
310,2.996358518
312,3.449063094
313,3.427128994
314,3.32218289
315,3.283529594
316,3.321062617
317,3.316457828
318,4.081855262
319,3.22697132
320,3.507761235
321,3.527101393
322,3.360093572
2070,3.34928857
2071,3.782034794
2072,3.01705143
2073,3.425788435
2074,3.646242446
2075,3.806748338
2076,3.838517872
2077,3.282391131
2078,3.521426839
2079,3.097859458
2080,3.447770305
2081,3.539281151
2082,3.115329035
2083,3.214854324
2084,3.39633095
2085,3.610444751
2086,3.465916129
2087,3.360298822
2088,2.866729386
2089,3.681599848
2090,3.403769273
2091,3.061609682
2092,3.298598676
2093,3.174393284
2094,2.982394292
2095,3.03338185
2096,3.408667719
2097,2.997770454
2098,3.043801444
2099,3.38803391
2100,3.334960027
2101,3.352165518
2102,2.906907655
2103,2.686175284
2104,3.549748307
2105,3.160164555
2106,3.548725915
2107,2.965241205
2108,3.420569502
2109,3.293046096
2110,3.202386813
2111,3.207031515
2112,3.753503299
2113,3.163972949
2114,3.612981289
2115,3.410296983
2116,4.076151654
2117,3.586123562
2118,3.074606529
2119,3.048569168
2120,3.17658754
2121,3.005592897
2122,3.207345072
2123,3.634054933
2124,3.139614653
2125,3.585539029
2126,3.414841345
2128,3.27536471
2130,3.57429991
2131,3.441745298
2132,3.755390765
2133,3.319560442
