mid,rate_avg
217,3.445487
218,3.6246934
219,3.2510695
220,3.1620836
222,3.227371
223,3.403522
224,3.6662607
225,3.5790422
227,3.0230963
228,3.4220443
229,3.5401819
230,3.5798278
231,3.5182874
232,3.6029658
233,3.4723542
234,3.3731859
235,3.7812576
236,3.3586707
237,3.5968506
238,3.0507205
239,3.426064
240,3.4439569
241,3.251178
242,3.62473
243,3.24751
244,3.22291
245,3.3294773
246,3.6417167
247,3.5080638
248,3.1185148
249,3.4738698
250,3.3774648
251,3.0350425
252,3.595986
253,2.944712
254,3.4677153
255,3.42201
256,3.3531687
257,3.3830397
258,3.0395193
259,3.3403816
260,3.4357383
261,3.4823883
262,3.2567666
263,3.4944339
264,3.5004084
265,3.495751
266,3.8438654
267,3.1580126
268,3.3357391
269,3.4944167
270,3.468418
271,3.5119236
272,3.75897
273,3.0888455
274,2.95942
275,3.5967112
276,3.348972
277,3.2656
278,3.3387115
279,3.6127112
280,3.5691392
281,3.6239982
282,3.4569223
283,3.5510304
286,2.9849255
287,3.4677114
288,3.5409942
289,3.6038465
290,3.5164058
291,3.4251473
292,3.2619195
293,3.6478684
294,3.5860205
295,3.5860257
296,3.437754
297,3.4944158
298,3.6133986
299,3.4944165
300,3.639227
301,3.6429367
302,3.6427276
303,3.4261024
304,3.2481158
305,3.6376734
306,3.5885692
307,3.5953636
308,3.7083116
309,3.4944098
310,3.1186
312,3.6127136
313,3.41772
314,3.2475314
315,3.0825095
316,3.0791657
317,3.408285
318,3.7576027
319,3.3210676
320,3.4364119
321,3.6127481
322,3.428096
2070,3.4711707
2071,3.5036964
2072,3.0018208
2073,3.613369
2074,3.5002692
2075,3.5043414
2076,3.6721818
2077,3.2131388
2078,3.4170666
2079,3.0499103
2080,3.3463619
2081,3.391107
2082,3.1447818
2083,3.3815308
2084,3.2612214
2085,3.7317636
2086,3.494552
2087,3.3536887
2088,2.9261248
2089,3.6347768
2090,3.3107343
2091,2.921801
2092,3.2859585
2093,2.9261243
2094,2.7698455
2095,3.1195245
2096,3.3379152
2097,2.8653271
2098,3.1016085
2099,3.2878566
2100,3.378837
2101,3.2475157
2102,3.3922153
2103,3.2219813
2104,3.4944
2105,3.0693166
2106,3.5214922
2107,2.870407
2108,3.6084323
2109,3.41167
2110,3.4517393
2111,3.3102267
2112,3.510446
2113,3.1572092
2114,3.6104062
2115,3.2266781
2116,3.764792
2117,3.443919
2118,2.8264637
2119,2.949061
2120,2.9326398
2121,2.8797624
2122,3.1167166
2123,3.6756175
2124,3.1721523
2125,3.6165383
2126,3.4011142
2128,3.422015
2130,3.5264254
2131,3.4953012
2132,3.5284193
2133,3.343025
2134,3.3758333
2135,3.0760937
2136,3.098838
2137,3.5318038
2138,3.7954872
2139,3.540741
2140,3.2715042
2141,3.5194712
2142,3.2793477
2143,3.0982184
2144,3.4018834
2145,3.60015
2146,3.4798324
2147,3.4716437
2148,3.0226958
2149,3.0455585
2150,3.2193308
2151,3.2120962
2152,3.1214948
2153,3.207057
2154,3.5907931
2155,3.6169949
2157,3.4944112
2158,2.8924181
2159,3.1522293
2160,3.29306
2161,3.07298
2162,3.0463486
2163,2.9851866
2164,2.843201
2165,3.6127589
2166,3.423073
2167,2.8448842
2168,3.4735398
2169,3.366925
2170,3.1822054
2171,3.586104
2172,3.3654401
2173,3.3866906
2876,3.5433543
2877,3.504762
2878,2.8942735
2879,3.2091484
2880,3.2199543
2881,3.5897572
2882,3.7455192
2883,3.5860748
2884,3.3387427
2885,3.4677317
2886,3.0054955
2887,3.3205688
2888,3.353929
2889,3.614154
2890,3.1902292
2891,3.4273553
2892,3.5223064
2893,3.4511747
2894,3.586161
2896,3.3494325
2897,3.7882211
2898,2.9790332
2899,3.0909126
2900,3.0417686
2901,2.9192672
2902,2.8515687
2903,2.8548822
2904,3.46771
2905,3.469989
2906,3.5765684
2907,3.12563
2908,3.5746162
2911,3.6696246
2912,3.4246805
2913,3.2994516
2914,3.5862808
2915,3.3612018
2916,3.1128812
2917,3.4896066
2918,3.7018142
2919,3.5976915
2920,3.4753225
2921,3.4123197
2922,3.497733
2923,3.3654
2924,3.222996
2925,3.5256524
2926,3.3423223
2927,3.4860017
2928,3.4959147
2929,3.60169
2931,3.6737928
2932,3.4806674
2933,3.6745374
2935,3.3433142
2936,3.5669043
2937,3.3546185
2938,3.6190004
2939,3.5233045
2940,3.4228346
2941,3.34991
2942,3.492514
2943,3.4879313
2944,3.1858218
2945,3.509642
2946,3.3671105
2947,3.1022484
2948,3.0834315
2949,3.0947185
2950,3.4808052
2951,3.4636614
2952,3.4612432
2953,3.2458048
2956,3.4754283
2959,3.6572468
2961,3.6041572
2962,3.346762
2963,3.5564601
2964,3.612716
2965,2.8401372
2966,3.5149415
2967,3.0835233
2968,3.0620546
2969,3.6527
2970,3.316827
2971,3.5203202
2972,3.619508
2973,3.6301684
2974,2.841108
2975,3.626417
2976,3.4604297
2977,3.6136909
2978,3.3604603
2979,3.469164
2982,3.1593
2983,3.195998
2984,3.634843
2985,3.0699055
2986,3.0495632
2987,3.5403101
2988,3.6150873
4500,3.629211
4501,2.9706435
4502,3.1227832
4503,3.4677274
4504,2.9549
4505,3.2232397
4506,3.4262996
4508,3.5132682
4509,3.3898897
4511,3.329089
4512,3.3702593
4514,2.8938138
4515,3.6339002
4516,3.3697183
4517,2.8367822
4518,3.0192323
4519,3.3118327
4520,3.1240046
4521,3.2728002
4522,3.4833524
4523,3.6132104
4524,3.425893
4525,3.3753057
4526,3.3347921
4527,3.4677122
4529,3.6213496
4531,3.313445
