rate_ave,genres,rate_cnt,popularity,mid,releasedate
3.90782,Animation|Comedy|Family,56564,27.8962,1,11/21/1995
3.21858,Adventure|Fantasy|Family,23138,9.44499,2,12/15/1995
3.1808,Romance|Comedy,15191,3.44296,3,12/22/1995
2.87889,Comedy|Drama|Romance,2923,1.98981,4,12/22/1995
3.08174,Comedy,14589,1.80002,5,12/8/1995
3.83181,Action|Crime|Drama|Thriller,25863,18.4246,6,12/15/1995
3.37429,Comedy|Romance,14736,0.85173,7,12/15/1995
3.14457,Action|Adventure|Drama|Family,1463,2.22208,8,12/22/1995
3.01983,Action|Adventure|Thriller,4287,2.07899,9,12/22/1995
3.43824,Adventure|Action|Thriller,30847,15.2315,10,11/16/1995
3.66726,Comedy|Drama|Romance,18920,1.09918,11,11/17/1995
2.6662,Comedy|Horror,4257,3.92267,12,12/22/1995
3.29122,Family|Animation|Adventure,1595,3.4078,13,12/22/1995
3.43193,History|Drama,6721,3.55323,14,12/22/1995
2.72879,Action|Adventure,3005,2.3847,15,12/22/1995
3.77948,Drama|Crime,18781,10.6124,16,11/22/1995
3.96423,Drama|Romance,23289,3.28241,17,12/13/1995
3.39436,Comedy,5623,5.21198,18,12/25/1995
2.6173,Comedy,22264,8.10137,19,11/10/1995
2.90145,Action|Comedy|Crime|Drama|Thriller,4485,3.83941,20,11/21/1995
3.58029,Comedy|Thriller|Crime,24953,5.38902,21,10/20/1995
3.30156,Drama|Thriller,10789,1.01407,22,10/27/1995
3.16042,Action|Adventure|Crime|Thriller,4566,5.84336,23,10/6/1995
3.18505,Drama|Fantasy|ScienceFiction|Thriller,8892,6.15424,24,10/27/1995
3.6742,Drama|Romance,24019,4.1622,25,10/27/1995
3.61999,Drama,2967,1.48675,26,12/15/1995
3.42967,Comedy|Drama|Family,1763,0.97539,27,10/20/1995
4.05369,Drama|Romance,3297,0.70503,28,9/27/1995
3.92633,Fantasy|ScienceFiction|Adventure,9420,6.19917,29,5/16/1995
3.6435,Drama|Crime,1338,0.73415,30,4/30/1995
3.24375,Drama|Crime,11120,2.15725,31,8/11/1995
3.88237,ScienceFiction|Thriller|Mystery,48803,15.8375,32,12/27/1995
3.64696,Fantasy|Drama|Comedy|Family,33366,11.5558,34,8/3/1995
3.50581,History|Drama|Romance,1548,1.79352,35,11/8/1995
3.94413,Drama,23009,5.81319,36,12/29/1995
