rate_ave,genres,revenue,rate_cnt,popularity,mid,crew,releasedate,cast,studio,budget,title,runtime
3.90782,"[""Animation"", ""Comedy"", ""Family""]",361958736,56564,27.8962,1,"[{""job"": ""Director"", ""name"": ""John Lasseter""}, {""job"": ""Screenplay"", ""name"": ""Joss Whedon""}, {""job"": ""Screenplay"", ""name"": ""Andrew Stanton""}, {""job"": ""Screenplay"", ""name"": ""Joel Cohen""}, {""job"": ""Screenplay"", ""name"": ""Alec Sokolow""}, {""job"": ""Producer"", ""name"": ""Bonnie Arnold""}, {""job"": ""Executive Producer"", ""name"": ""Ed Catmull""}, {""job"": ""Producer"", ""name"": ""Ralph Guggenheim""}, {""job"": ""Executive Producer"", ""name"": ""Steve Jobs""}, {""job"": ""Original Music Composer"", ""name"": ""Randy Newman""}, {""job"": ""Editor"", ""name"": ""Robert Gordon""}, {""job"": ""Editor"", ""name"": ""Lee Unkrich""}, {""job"": ""Art Direction"", ""name"": ""Ralph Eggleston""}, {""job"": ""Storyboard"", ""name"": ""Mike Cachuela""}, {""job"": ""Animation"", ""name"": ""Kim Blanchette""}]",11/21/1995,"[{""character"": ""Woody (voice)"", ""name"": ""Tom Hanks""}, {""character"": ""Buzz Lightyear (voice)"", ""name"": ""Tim Allen""}, {""character"": ""Mr. Potato Head (voice)"", ""name"": ""Don Rickles""}, {""character"": ""Slinky Dog (voice)"", ""name"": ""Jim Varney""}, {""character"": ""Rex (voice)"", ""name"": ""Wallace Shawn""}, {""character"": ""Hamm (voice)"", ""name"": ""John Ratzenberger""}, {""character"": ""Bo Peep (voice)"", ""name"": ""Annie Potts""}, {""character"": ""Andy (voice)"", ""name"": ""John Morris""}, {""character"": ""Sid (voice)"", ""name"": ""Erik von Detten""}, {""character"": ""Andy's Mom (voice)"", ""name"": ""Laurie Metcalf""}, {""character"": ""Sergeant (voice)"", ""name"": ""R. Lee Ermey""}]","[""Walt Disney Pictures"", ""Pixar Animation Studios""]",30000000,Toy Story,81
3.21858,"[""Adventure"", ""Fantasy"", ""Family""]",262797249,23138,9.44499,2,"[{""job"": ""Director"", ""name"": ""Joe Johnston""}, {""job"": ""Novel"", ""name"": ""Chris Van Allsburg""}, {""job"": ""Screenplay"", ""name"": ""Jonathan Hensleigh""}, {""job"": ""Screenplay"", ""name"": ""Greg Taylor""}, {""job"": ""Screenplay"", ""name"": ""Jim Strain""}, {""job"": ""Producer"", ""name"": ""William Teitler""}, {""job"": ""Producer"", ""name"": ""Scott Kroopf""}, {""job"": ""Director of Photography"", ""name"": ""Thomas E. Ackerman""}, {""job"": ""Executive Producer"", ""name"": ""Robert W. Cort""}, {""job"": ""Executive Producer"", ""name"": ""Ted Field""}, {""job"": ""Executive Producer"", ""name"": ""Larry J. Franco""}, {""job"": ""Editor"", ""name"": ""Robert Dalva""}, {""job"": ""Original Music Composer"", ""name"": ""James Horner""}, {""job"": ""Production Design"", ""name"": ""James D. Bissell""}]",12/15/1995,"[{""character"": ""Alan Parrish"", ""name"": ""Robin Williams""}, {""character"": ""Judy Sheperd"", ""name"": ""Kirsten Dunst""}, {""character"": ""Samuel Alan Parrish / Van Pelt"", ""name"": ""Jonathan Hyde""}, {""character"": ""Sarah Whittle"", ""name"": ""Bonnie Hunt""}, {""character"": ""Carol Anne Parrish"", ""name"": ""Patricia Clarkson""}, {""character"": ""Mrs. Thomas the Realtor"", ""name"": ""Gillian Barber""}, {""character"": ""Sarah Whittle (young)"", ""name"": ""Laura Bell Bundy""}, {""character"": ""Alan Parrish (young)"", ""name"": ""Adam Hann-Byrd""}, {""character"": ""Peter Shepherd"", ""name"": ""Bradley Pierce""}, {""character"": ""Nora Shepherd"", ""name"": ""Bebe Neuwirth""}, {""character"": ""Carl Bentley"", ""name"": ""David Alan Grier""}]","[""TriStar Pictures"", ""Teitler Film"", ""Interscope Communications""]",65000000,Jumanji,104
3.1808,"[""Romance"", ""Comedy""]",0,15191,3.44296,3,"[{""job"": ""Director"", ""name"": ""Howard Deutch""}, {""job"": ""Characters"", ""name"": ""Mark Steven Johnson""}, {""job"": ""Writer"", ""name"": ""Mark Steven Johnson""}]",12/22/1995,"[{""character"": ""Max Goldman"", ""name"": ""Walter Matthau""}, {""character"": ""John Gustafson"", ""name"": ""Jack Lemmon""}, {""character"": ""Ariel Gustafson"", ""name"": ""Ann-Margret""}, {""character"": ""Maria Sophia Coletta Ragetti"", ""name"": ""Sophia Loren""}, {""character"": ""Melanie Gustafson"", ""name"": ""Daryl Hannah""}, {""character"": ""Grandpa Gustafson"", ""name"": ""Burgess Meredith""}, {""character"": ""Jacob Goldman"", ""name"": ""Kevin Pollak""}]","[""Warner Bros."", ""Lancaster Gate""]",0,Grumpier Old Men,101
2.87889,"[""Comedy"", ""Drama"", ""Romance""]",81452156,2923,1.98981,4,"[{""job"": ""Director"", ""name"": ""Forest Whitaker""}, {""job"": ""Novel"", ""name"": ""Terry McMillan""}, {""job"": ""Screenplay"", ""name"": ""Terry McMillan""}, {""job"": ""Screenplay"", ""name"": ""Ronald Bass""}, {""job"": ""Producer"", ""name"": ""Ronald Bass""}, {""job"": ""Producer"", ""name"": ""Caron K""}, {""job"": ""Executive Producer"", ""name"": ""Terry McMillan""}, {""job"": ""Producer"", ""name"": ""Deborah Schindler""}, {""job"": ""Producer"", ""name"": ""Ezra Swerdlow""}, {""job"": ""Original Music Composer"", ""name"": ""Kenneth Edmonds""}]",12/22/1995,"[{""character"": ""Savannah 'Vannah' Jackson"", ""name"": ""Whitney Houston""}, {""character"": ""Bernadine 'Bernie' Harris"", ""name"": ""Angela Bassett""}, {""character"": ""Gloria 'Glo' Matthews"", ""name"": ""Loretta Devine""}, {""character"": ""Robin Stokes"", ""name"": ""Lela Rochon""}, {""character"": ""Marvin King"", ""name"": ""Gregory Hines""}, {""character"": ""Kenneth Dawkins"", ""name"": ""Dennis Haysbert""}, {""character"": ""John Harris, Sr."", ""name"": ""Michael Beach""}, {""character"": ""Troy"", ""name"": ""Mykelti Williamson""}]","[""Twentieth Century Fox Film Corporation""]",16000000,Waiting to Exhale,127
3.08174,"[""Comedy""]",76578911,14589,1.80002,5,"[{""job"": ""Screenplay"", ""name"": ""Nancy Meyers""}, {""job"": ""Screenplay"", ""name"": ""Albert Hackett""}, {""job"": ""Original Music Composer"", ""name"": ""Alan Silvestri""}, {""job"": ""Producer"", ""name"": ""Nancy Meyers""}, {""job"": ""Editor"", ""name"": ""Adam Bernardi""}, {""job"": ""Director of Photography"", ""name"": ""Elliot Davis""}, {""job"": ""Director"", ""name"": ""Charles Shyer""}]",12/8/1995,"[{""character"": ""George Banks"", ""name"": ""Steve Martin""}, {""character"": ""Nina Banks"", ""name"": ""Diane Keaton""}, {""character"": ""Franck Eggelhoffer"", ""name"": ""Martin Short""}, {""character"": ""Annie Banks-MacKenzie"", ""name"": ""Kimberly Williams-Paisley""}, {""character"": ""Bryan MacKenzie"", ""name"": ""George Newbern""}, {""character"": ""Matty Banks"", ""name"": ""Kieran Culkin""}, {""character"": ""Howard Weinstein"", ""name"": ""BD Wong""}, {""character"": ""John MacKenzie"", ""name"": ""Peter Michael Goetz""}, {""character"": ""Joanna MacKenzie"", ""name"": ""Kate McGregor-Stewart""}, {""character"": ""Dr. Megan Eisenberg"", ""name"": ""Jane Adams""}, {""character"": ""Mr. Habib"", ""name"": ""Eugene Levy""}]","[""Sandollar Productions"", ""Touchstone Pictures""]",0,Father of the Bride Part II,106
3.83181,"[""Action"", ""Crime"", ""Drama"", ""Thriller""]",187436818,25863,18.4246,6,"[{""job"": ""Director"", ""name"": ""Michael Mann""}, {""job"": ""Screenplay"", ""name"": ""Michael Mann""}, {""job"": ""Producer"", ""name"": ""Art Linson""}, {""job"": ""Producer"", ""name"": ""Michael Mann""}, {""job"": ""Original Music Composer"", ""name"": ""Elliot Goldenthal""}, {""job"": ""Director of Photography"", ""name"": ""Dante Spinotti""}, {""job"": ""Editor"", ""name"": ""Pasquale Buba""}, {""job"": ""Editor"", ""name"": ""William Goldenberg""}, {""job"": ""Editor"", ""name"": ""Dov Hoenig""}, {""job"": ""Editor"", ""name"": ""Tom Rolf""}, {""job"": ""Casting"", ""name"": ""Bonnie Timmermann""}, {""job"": ""Production Design"", ""name"": ""Neil Spisak""}, {""job"": ""Art Direction"", ""name"": ""Margie Stone McShirley""}, {""job"": ""Costume Design"", ""name"": ""Deborah Lynn Scott""}, {""job"": ""Makeup Artist"", ""name"": ""John Caglione Jr.""}, {""job"": ""Hairstylist"", ""name"": ""Vera Mitchell""}, {""job"": ""Music Editor"", ""name"": ""Bill Abbott""}, {""job"": ""Supervising Sound Editor"", ""name"": ""Per Hallberg""}, {""job"": ""Special Effects Coordinator"", ""name"": ""Terry D. Frazee""}, {""job"": ""Special Effects"", ""name"": ""Paul H. Haines Jr.""}, {""job"": ""Visual Effects Supervisor"", ""name"": ""Neil Krepela""}, {""job"": ""Stunt Coordinator"", ""name"": ""Joel Kramer""}, {""job"": ""Stunts"", ""name"": ""Tony Brubaker""}, {""job"": ""Set Decoration"", ""name"": ""Anne H. Ahrens""}]",12/15/1995,"[{""character"": ""Lt. Vincent Hanna"", ""name"": ""Al Pacino""}, {""character"": ""Neil McCauley"", ""name"": ""Robert De Niro""}, {""character"": ""Chris Shiherlis"", ""name"": ""Val Kilmer""}, {""character"": ""Nate"", ""name"": ""Jon Voight""}, {""character"": ""Michael Cheritto"", ""name"": ""Tom Sizemore""}, {""character"": ""Justine Hanna"", ""name"": ""Diane Venora""}, {""character"": ""Eady"", ""name"": ""Amy Brenneman""}, {""character"": ""Charlene Shiherlis"", ""name"": ""Ashley Judd""}, {""character"": ""Sergeant Drucker"", ""name"": ""Mykelti Williamson""}, {""character"": ""Detective Casals"", ""name"": ""Wes Studi""}, {""character"": ""Bosko"", ""name"": ""Ted Levine""}]","[""Warner Bros. Pictures"", ""Regency Enterprises""]",60000000,Heat,171
3.37429,"[""Comedy"", ""Romance""]",0,14736,0.85173,7,"[{""job"": ""Director"", ""name"": ""Sydney Pollack""}, {""job"": ""Screenplay"", ""name"": ""Barbara Benedek""}, {""job"": ""Producer"", ""name"": ""Sydney Pollack""}, {""job"": ""Original Music Composer"", ""name"": ""John Williams""}, {""job"": ""Editor"", ""name"": ""Fredric Steinkamp""}, {""job"": ""Producer"", ""name"": ""Scott Rudin""}, {""job"": ""Music"", ""name"": ""John Williams""}, {""job"": ""Casting"", ""name"": ""David Rubin""}, {""job"": ""Casting"", ""name"": ""Kate Dowd""}]",12/15/1995,"[{""character"": ""Linus Larrabee"", ""name"": ""Harrison Ford""}, {""character"": ""Sabrina Fairchild"", ""name"": ""Julia Ormond""}, {""character"": ""David Larrabee"", ""name"": ""Greg Kinnear""}, {""character"": ""Mrs. Ingrid Tyson"", ""name"": ""Angie Dickinson""}, {""character"": ""Maude Larrabee"", ""name"": ""Nancy Marchand""}, {""character"": ""Fairchild"", ""name"": ""John Wood""}, {""character"": ""Patrick Tyson"", ""name"": ""Richard Crenna""}, {""character"": ""Elizabeth Tyson"", ""name"": ""Lauren Holly""}, {""character"": ""Mack"", ""name"": ""Dana Ivey""}, {""character"": ""Irene"", ""name"": ""Fanny Ardant""}, {""character"": ""Louis"", ""name"": ""Patrick Bruel""}]","[""Paramount Pictures"", ""Scott Rudin Productions"", ""Mirage Enterprises"", ""Sandollar Productions"", ""Constellation Entertainment"", ""Worldwide"", ""Mont Blanc Entertainment GmbH""]",58000000,Sabrina,127
3.14457,"[""Action"", ""Adventure"", ""Drama"", ""Family""]",0,1463,2.22208,8,"[{""job"": ""Director"", ""name"": ""Peter Hewitt""}, {""job"": ""Novel"", ""name"": ""Mark Twain""}, {""job"": ""Screenplay"", ""name"": ""Stephen Sommers""}, {""job"": ""Screenplay"", ""name"": ""David Loughery""}]",12/22/1995,"[{""character"": ""Tom Sawyer"", ""name"": ""Jonathan Taylor Thomas""}, {""character"": ""Huck Finn"", ""name"": ""Brad Renfro""}, {""character"": ""Becky Thatcher"", ""name"": ""Rachael Leigh Cook""}, {""character"": ""Muff Potter"", ""name"": ""Michael McShane""}, {""character"": ""Aunt Polly"", ""name"": ""Amy Wright""}, {""character"": ""Injun Joe"", ""name"": ""Eric Schweig""}]","[""Walt Disney Pictures""]",0,Tom and Huck,97
3.01983,"[""Action"", ""Adventure"", ""Thriller""]",64350171,4287,2.07899,9,"[{""job"": ""Director"", ""name"": ""Peter Hyams""}, {""job"": ""Screenplay"", ""name"": ""Karen Elise Baldwin""}, {""job"": ""Screenplay"", ""name"": ""Gene Quintano""}, {""job"": ""Producer"", ""name"": ""Moshe Diamant""}, {""job"": ""Producer"", ""name"": ""Anders P. Jensen""}, {""job"": ""Producer"", ""name"": ""Howard Baldwin""}, {""job"": ""Music"", ""name"": ""John Debney""}, {""job"": ""Director of Photography"", ""name"": ""Peter Hyams""}, {""job"": ""Editor"", ""name"": ""Steven Kemper""}]",12/22/1995,"[{""character"": ""Darren Francis Thomas McCord"", ""name"": ""Jean-Claude Van Damme""}, {""character"": ""Joshua Foss"", ""name"": ""Powers Boothe""}, {""character"": ""Matthew Hallmark"", ""name"": ""Dorian Harewood""}, {""character"": ""Vizepr\u00e4sident Daniel Bender"", ""name"": ""Raymond J. Barry""}, {""character"": ""Tyler"", ""name"": ""Ross Malinger""}, {""character"": ""Emily McCord"", ""name"": ""Whittni Wright""}]","[""Universal Pictures"", ""Imperial Entertainment"", ""Signature Entertainment""]",35000000,Sudden Death,106
3.43824,"[""Adventure"", ""Action"", ""Thriller""]",352194034,30847,15.2315,10,"[{""job"": ""Director"", ""name"": ""Martin Campbell""}, {""job"": ""Characters"", ""name"": ""Ian Fleming""}, {""job"": ""Screenplay"", ""name"": ""Jeffrey Caine""}, {""job"": ""Screenplay"", ""name"": ""Bruce Feirstein""}, {""job"": ""Producer"", ""name"": ""Barbara Broccoli""}, {""job"": ""Executive Producer"", ""name"": ""Tom Pevsner""}, {""job"": ""Original Music Composer"", ""name"": ""Eric Serra""}, {""job"": ""Songs"", ""name"": ""Tina Turner""}, {""job"": ""Director of Photography"", ""name"": ""Phil Meheux""}, {""job"": ""Editor"", ""name"": ""Terry Rawlings""}, {""job"": ""Casting"", ""name"": ""Debbie McWilliams""}, {""job"": ""Production Design"", ""name"": ""Peter Lamont""}, {""job"": ""Art Direction"", ""name"": ""Andrew Ackland-Snow""}, {""job"": ""Art Direction"", ""name"": ""Kathrin Brunner""}, {""job"": ""Art Direction"", ""name"": ""Charles Dwight Lee""}, {""job"": ""Set Decoration"", ""name"": ""Michael Ford""}, {""job"": ""Costume Design"", ""name"": ""Lindy Hemming""}, {""job"": ""Producer"", ""name"": ""Michael G. Wilson""}, {""job"": ""Producer"", ""name"": ""Anthony Waye""}]",11/16/1995,"[{""character"": ""James Bond"", ""name"": ""Pierce Brosnan""}, {""character"": ""Alec Trevelyan"", ""name"": ""Sean Bean""}, {""character"": ""Natalya Fyodorovna Simonova"", ""name"": ""Izabella Scorupco""}, {""character"": ""Xenia Onatopp"", ""name"": ""Famke Janssen""}, {""character"": ""Jack Wade"", ""name"": ""Joe Don Baker""}, {""character"": ""M"", ""name"": ""Judi Dench""}, {""character"": ""General Arkady Grigorovich Ourumov"", ""name"": ""Gottfried John""}, {""character"": ""Valentin Dmitrovich Zukovsky"", ""name"": ""Robbie Coltrane""}, {""character"": ""Boris Grishenko"", ""name"": ""Alan Cumming""}, {""character"": ""Defense Minister Dmitri Mishkin"", ""name"": ""Tch\u00e9ky Karyo""}, {""character"": ""Q"", ""name"": ""Desmond Llewelyn""}]","[""United Artists"", ""Eon Productions"", ""Metro-Goldwyn-Mayer (MGM)""]",58000000,GoldenEye,130
