@relation mp_clean


@attribute rate_ave numeric

@attribute rate_cnt numeric

@attribute popularity numeric


@data

3.90782,56564,27.8962
3.21858,23138,9.44499
3.1808,15191,3.44296
2.87889,2923,1.98981
3.08174,14589,1.80002
3.83181,25863,18.4246
3.37429,14736,0.85173
3.14457,1463,2.22208
3.01983,4287,2.07899
3.43824,30847,15.2315
3.66726,18920,1.09918
2.6662,4257,3.92267
3.29122,1595,3.4078
3.43193,6721,3.55323
2.72879,3005,2.3847
3.77948,18781,10.6124
3.96423,23289,3.28241
3.39436,5623,5.21198
2.6173,22264,8.10137
2.90145,4485,3.83941
3.58029,24953,5.38902
3.30156,10789,1.01407
3.16042,4566,5.84336
3.18505,8892,6.15424
3.6742,24019,4.1622
3.61999,2967,1.48675
3.42967,1763,0.97539
4.05369,3297,0.70503
3.92633,9420,6.19917
3.6435,1338,0.73415
3.24375,11120,2.15725
3.88237,48803,15.8375
3.64696,33366,11.5558
3.50581,1548,1.79352
3.94413,23009,5.81319
2.88211,598,2.23005
3.41403,26829,9.82612
3.65635,937,0.00299
3.85524,4998,1.12873
3.05397,2529,1.28147
3.47277,2626,1.39854
2.6294,12056,8.9169
3.37545,9398,2.99974
3.27231,3294,0.19872
4.05493,44817,19.3566
2.93798,14706,18.4007
3.59839,249,0.27696
4.3291,49728,20.1178
3.53906,10163,1.60243
3.70192,156,0.00164
2.86876,1002,0.36434
3.23777,961,0.00233
3.32676,2485,0.17406
3.9708,13202,0.62966
3.59091,198,0.00174
3.07998,7289,3.01576
3.33864,2420,1.04112
3.75907,22411,0.41437
3.10375,2530,5.16646
2.8414,2169,1.33412
2.41524,5557,7.11149
2.16713,2528,0.64598
3.35632,174,0.30063
3.46195,1301,0.92049
3.55498,4820,1.96278
3.28112,13464,13.9317
2.36067,1317,1.88778
3.48972,1265,0.64234
3.80235,3367,1.20628
3.30935,3745,0.7845
2.47208,573,0.00338
3.01273,3575,2.52791
3.43805,226,0.00145
3.17766,1258,1.13387
3.16407,6223,2.40273
3.72673,591,0.00192
3.27454,3351,2.45238
4.01528,2684,0.69043
3.65422,616,0.00154
3.39759,166,0.00143
3.54056,2811,1.32366
3.49037,4517,2.19523
2.39702,1039,0.07587
3.13043,5566,2.24744
3.14024,3330,2.54934
3.33784,222,0.00333
2.86,2400,1.45143
2.53041,2055,2.07249
3.52914,4238,1.29828
3.12226,24942,6.35484
3.68836,507,0.00585
3.99741,2121,7.27415
3.12203,758,0.00152
3.23405,4373,4.82891
3.78442,4453,5.77035
2.44322,2087,0.13092
3.28069,1181,0.09282
3.41431,19512,5.29592
3.32687,10879,6.30631
3.42279,136,0.00172
3.19784,7837,2.76873
3.03676,136,0.00255
4.04209,58412,25.8192
4.10938,26608,11.4371
3.40361,13072,4.26422
3.12698,1138,2.02141
3.61905,252,0.00246
3.92593,1026,0.00146
3.5907,1301,0.00212
3.01459,1165,0.02315
2.80443,271,0.24902
2.8913,161,0.06623
3.74235,850,0.00185
2.8657,4006,8.55965
3.97445,2427,3.89398
3.49547,331,0.00411
3.75487,3590,1.69284
2.34341,1456,5.53448
3.17,200,0.00215
3.29847,196,0.00246
2.77195,2164,2.06542
2.99679,7483,1.97444
3.54717,106,0.00144
3.3029,241,0.00845
3.28276,145,0.0023
3.31144,5595,1.70797
3.52217,25011,2.3226
3.47081,4608,0.65227
3.25685,13430,9.8506
2.89701,602,0.00164
3.59678,4567,5.00766
2.89807,363,0.16183
3.69517,1117,0.71914
3.88335,53450,8.74407
3.5313,13289,3.91932
3.09895,667,1.68422
2.91969,36961,14.1091
3.80272,3120,3.00243
3.40445,1303,0.39414
3.53819,1728,0.76998
2.79221,2683,2.74687
2.90044,14624,14.5518
3.41653,2396,2.28206
2.6094,15475,3.66566
3.74866,25221,2.776
3.99324,6290,0.07085
3.4307,15823,6.60247
3.46287,4525,0.71648
3.49461,38138,15.0563
2.80493,669,1.38873
3.06722,13240,4.26052
2.31048,3902,2.86704
3.2092,8934,7.85099
3.60697,1449,0.0629
2.73436,13712,6.3293
2.52713,15886,10.6884
2.45305,2162,0.22904
3.52118,5360,5.46042
3.85054,2402,0.77792
2.88849,2345,3.06046
3.38252,515,0.00159
2.7458,1251,1.7366
3.57837,8957,2.87854
1.97333,2831,2.22363
3.08686,708,0.12272
3.3624,625,0.11237
3.11343,335,0.00155
3.12515,25792,8.66848
2.87718,12693,8.30836
3.45417,960,0.00329
3.33656,2579,2.3269
3.00729,343,0.00327
3.57303,979,0.08958
2.68831,1779,2.69056
2.24428,8474,6.2507
3.84339,6267,2.09827
3.09532,3331,2.16503
2.83648,14588,10.7425
3.07522,113,0.00249
3.41643,9495,4.91992
3.77894,1572,2.17309
2.83238,349,0.00212
3.03272,382,1.61439
2.97917,408,2.94436
3.16195,5832,1.6264
2.94104,8888,4.43973
3.51316,1368,0.0041
3.4781,1050,0.00155
3.37402,5846,2.74994
2.85622,29010,8.63201
2.83073,768,0.8861
2.88086,491,0.9336
3.58908,595,0.0128
2.57609,460,1.79046
4.04467,1914,2.10042
4.04499,978,0.38772
3.84938,5640,6.76872
3.26174,9458,2.87477
2.73279,1046,1.31697
3.2887,4354,1.73817
3.61221,655,0.51731
2.41312,282,0.83821
3.53388,6243,0.95231
3.86869,24264,5.52493
3.43836,8915,11.632
3.29055,13170,5.73075
3.06899,4769,4.57919
2.68983,482,0.00642
3.56083,2466,4.43216
3.58023,7665,1.97505
2.94786,34928,22.1576
4.02776,6395,2.45883
3.52239,3550,0.67452
2.68287,3322,1.12838
3.66007,16977,5.80544
3.30701,13231,2.89431
3.22507,6669,1.57257
3.16939,856,0.11891
3.07526,3561,13.7629
2.90437,847,1.09521
3.02962,574,0.53306
3.38995,1104,0.26522
2.51728,463,0.00143
2.3661,295,0.00143
2.96538,260,0.01121
4.01612,11073,1.13285
3.82664,8070,1.98025
3.02054,3214,0.00215
3.67644,5101,0.89418
3,937,1.69055
3.04261,399,1.38297
3.21342,10690,1.44724
3.49369,28682,11.2481
2.88802,643,0.00222
2.28173,1111,0.00143
2.70096,11082,2.09693
3.4135,3867,5.36807
2.64815,1755,0.81438
3.07829,2031,1.59154
4.17762,61723,63.3099
3.59737,11626,2.12875
3.76604,4815,1.34298
3.73259,402,0.00492
3.32317,164,0.8708
3.92198,12477,4.06535
3.49639,16918,15.9805
2.90185,4274,5.72648
3.30691,738,0.71582
3.47858,607,0.00242
3.18114,1347,0.10404
3.33282,1289,2.53963
3.74221,8280,2.57537
3.12634,8192,3.62977
2.86788,1211,0.65508
2.7297,1589,1.55234
2.98671,5642,1.4887
3.39664,10850,2.6232
3.02348,1171,0.00167
3.696,949,0.00161
3.72138,5233,2.62888
3.66124,4025,1.63743
3.40177,12069,2.97426
3.09205,239,0.00442
2.01327,113,1.45296
3.23874,333,0.00165
3.2348,24444,6.95567
3.36029,3289,2.58647
3.9976,4169,3.18925
2.2899,683,2.23875
3.42415,27825,5.75645
4.05362,26986,22.4447
3.17558,860,0.00297
2.8023,478,0.00373
4.15815,74418,27.8339
3.10517,271,0.0023
3.512,250,0.10125
3.73087,2692,0.00239
3.66565,21280,2.36623
3.51349,482,0.0053
3.74314,1604,2.87355
3.03885,7555,5.79744
3.1908,739,0.1472
2.70569,3498,3.61934
4.06903,7946,6.90856
3.97638,7389,4.0237
3.90523,5619,3.24804
3.64086,465,0.00143
2.76265,257,0.01446
2.61813,1346,0.00196
3.06172,1280,3.75655
3.85084,4217,0.00455
2.90591,12196,8.26226
3.35775,34681,11.6327
3.14595,16759,6.15722
4.44491,70754,29.9424
3.75912,7863,1.9808
3.25307,326,0.00172
3.76053,950,0.00698
3.69622,3040,0.8835
3.69474,475,0.02336
2.65561,1070,1.65063
4.08357,1394,1.49548
2.80505,8184,1.32026
3.15839,2497,2.91101
3.3478,29030,4.86902
2.81107,1572,0.19664
3.28759,572,0.00152
2.76477,2132,1.56918
3.35322,12069,4.90361
3.82063,1653,0.96463
3.2642,405,0.80033
2.86364,308,0.00225
3.75176,18514,4.13157
2.99685,4765,6.46739
3.51302,24622,3.60047
3.37374,1493,0.56853
3.58498,406,0.00147
3.48467,13213,3.87633
2.66263,990,0.09638
2.98373,42598,9.52419
3.62446,11498,2.86006
3.43395,1143,1.01033
3.41215,1588,3.12788
3.68405,8397,3.41784
3.67276,33231,9.66389
3.46471,16421,1.47412
3.3102,3825,1.08104
3.25861,1365,0.02685
3.51125,16839,8.00724
3.15773,1249,0.0018
2.42688,11133,4.71767
4.03884,75018,33.0246
3.65149,28438,4.25407
3.25205,2313,0.15368
3.29078,282,0.00174
2.73528,2140,0.94047
3.3341,5250,5.56022
3.37663,8876,2.20609
3.99847,653,0.01445
3.78416,40320,20.7453
3.17026,1900,3.17996
2.96224,2701,5.14427
3.17896,35147,33.4262
3.4015,17808,3.41547
3.31449,1132,0.25461
2.94804,15858,8.44382
3.25618,4372,2.1296
3.25878,8913,3.67867
3.77834,3573,0.88802
2.44575,5585,4.15225
3.27586,261,0.00204
3.29334,12944,4.37169
3.49739,42644,11.7147
3.12957,2381,0.03307
2.71709,6115,6.22726
3.50118,48002,13.11
3.40996,5542,1.88753
3.04614,5830,4.57917
3.20036,5323,5.29949
2.98683,797,0.62967
3.55639,133,0.00276
2.82385,369,0.3711
2.66875,720,0.48327
3.56074,568,0.00168
3.49029,206,0.00296
3.41887,832,0.96021
3.16551,432,1.07926
3.29286,280,0.00143
1.90878,2198,7.02203
3.33571,140,0.3164
2.45392,3733,3.70222
3.14437,1846,5.22379
3.23362,687,0.75989
3.02747,455,1.00034
2.99254,19511,5.36867
2.80603,116,0.58786
3.55577,4671,0.82571
2.81098,6748,2.18678
2.62472,890,1.71233
2.81867,3262,3.58367
2.7105,1810,0.93926
3.51878,3355,0.20231
2.70655,702,0.29259
2.49832,5047,2.45264
2.75558,15807,7.88582
3.30114,1838,2.0786
3.23219,1432,0.77059
3.00999,2353,4.27901
2.71326,769,1.07079
3.47377,896,1.54151
3.11695,3386,2.25806
2.54209,3481,0.21797
3.81619,5329,4.70478
2.35785,1523,0.00716
2.29596,272,0.00215
3.68673,9950,5.09887
2.72457,13693,1.89889
2.92091,1258,0.00264
3.07243,26852,5.28366
2.57904,14777,3.44047
2.61557,1272,9.46479
2.71097,1076,0.83526
3.6047,19598,0.97585
3.67581,8973,2.68031
3.03018,19150,9.78178
3.33663,606,0.00143
2.42678,1318,0.09433
2.88735,1953,4.77105
3.89141,3877,2.1173
2.51549,226,0.03656
3.55541,3068,1.36364
3.47845,696,0.00168
3.36072,3019,0.64679
3.0571,648,1.443
3.56465,1222,0.00321
3.10733,955,5.87764
3.50121,26538,4.89659
2.60811,9379,5.3424
3.82791,953,0.56682
3.99146,53295,18.3328
3.15288,1076,2.59264
2.78179,1148,2.14704
2.43683,934,1.76277
3.35147,919,0.00216
2.62621,206,0.38711
2.81235,421,3.36073
2.92522,3216,8.97203
3.27322,743,1.59435
2.905,14632,8.12845
3.43625,800,0.00612
3.31268,7957,6.27854
3.28506,1319,1.582
2.15283,494,0.70591
3.65554,11814,2.00491
2.88195,737,0.48943
2.3215,1409,1.08734
3.72858,19225,6.89552
3.90692,9911,3.53633
3.00633,237,0.00178
3.54841,4689,1.94387
2.43158,285,0.00311
2.92345,1241,3.06494
3.65475,66348,19.8201
3.34166,5864,6.25775
3.43232,2785,2.07064
3.78347,605,1.01673
2.78322,745,1.15281
2.76827,14597,18.3527
2.68941,623,0.80406
2.6112,634,0.7381
3.41395,552,0.29348
2.76871,3113,0.78468
3.35248,3264,1.99146
3.40313,5776,1.98167
3.65644,3209,4.91535
3.61074,3892,5.69726
3.37868,14120,7.4635
3.45095,683,3.17759
3.29257,417,0.00164
3.87563,14972,7.93517
2.80682,396,0.63437
2.76562,416,0.00617
3.39168,35276,12.9599
